t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,8,4,1,3,0,-0.1891951560974121,-0.031474754214286804,-0.09096232801675797,0.2597630023956299,0.5300016403198242,0.1858677864074707,0.0778762698173523,0.1210588663816452,-0.8732361197471619,0.7490226030349731,-0.9075536131858826,0.6530842781066895,0.6549102067947388,0.541527509689331,0.6716011166572571,0.5512339472770691,0.7372824549674988,-1.0551352500915527,0.768828272819519,-0.8482003808021545,-0.5943661332130432,0.7126960158348083,-0.8732343316078186,-1.019333004951477,-0.11092374473810196,0.014094172976911068,0.09112686663866043,0.03338029980659485,0.03650342673063278,-0.08090119808912277,-0.029068095609545708,0.10034018754959106,-0.03934517502784729,0.008644314482808113,0.11363504081964493,-0.15618525445461273
2,7,4,1,2,0,-0.2355233132839203,0.11443084478378296,-0.15745645761489868,0.8190089464187622,0.4914053678512573,-0.4868660867214203,-0.48959773778915405,-1.1265227794647217,1.0604852437973022,-0.8534557223320007,1.1613551378250122,-0.9360853433609009,-0.7520768642425537,-0.6286722421646118,-0.9044331908226013,-0.9108652472496033,-0.7079633474349976,1.1224722862243652,-0.829815149307251,1.1729975938796997,0.8283779621124268,-0.9358747601509094,0.8524391651153564,1.0936269760131836,-0.17662988603115082,0.029578959569334984,0.10691051930189133,0.04095367342233658,0.06391844898462296,-0.20482683181762695,0.16181716322898865,0.11592864990234375,-0.06553637981414795,-0.03390859439969063,0.22363974153995514,-0.25757521390914917
3,8,4,1,3,0,0.17599806189537048,-0.38292405009269714,0.19472944736480713,0.3617018461227417,0.41494807600975037,-0.16926142573356628,0.8385840058326721,-0.18653661012649536,-0.8791933655738831,0.7445421814918518,-0.8964511752128601,0.6425377130508423,0.6888379454612732,0.5537970066070557,0.6628926396369934,0.5401365160942078,0.7456026077270508,-1.0450388193130493,0.7723832130432129,-0.8365417718887329,-0.6215487122535706,0.7008987665176392,-0.887372612953186,-1.0136888027191162,-0.24856317043304443,0.06549821048974991,0.18133822083473206,0.05765271186828613,0.12231352925300598,-0.2087031751871109,-0.01682707667350769,0.21042278409004211,-0.08953837305307388,-0.05185259133577347,0.30073869228363037,-0.3543940782546997
4,7,4,1,2,0,0.38265159726142883,-0.5618113875389099,-0.6730070114135742,0.1585758924484253,0.7301715016365051,-0.07573764771223068,-1.1254847049713135,-0.12345488369464874,1.064042091369629,-0.8537430763244629,1.159654974937439,-0.9345132112503052,-0.7520082592964172,-0.6382063031196594,-0.9024437665939331,-0.9085098505020142,-0.7087676525115967,1.1199904680252075,-0.8299392461776733,1.1703509092330933,0.8281476497650146,-0.9333052635192871,0.8585798144340515,1.0929614305496216,-0.307060569524765,0.07124850898981094,0.1895466148853302,0.06423689424991608,0.1323423981666565,-0.31380802392959595,0.1670362949371338,0.2219085991382599,-0.11756347119808197,-0.08422061800956726,0.4012874364852905,-0.43402957916259766
5,6,4,1,2,0,-0.1298617124557495,-0.40191078186035156,0.2562450170516968,0.07738116383552551,0.33009907603263855,-0.08407443016767502,-0.4482138156890869,-0.7995692491531372,1.0675311088562012,-0.8533182144165039,1.1646238565444946,-0.9368616342544556,-0.7510282397270203,-0.6267541646957397,-0.9048729538917542,-0.9107556939125061,-0.7092887759208679,1.125009298324585,-0.8260809183120728,1.1754119396209717,0.8081978559494019,-0.9359138011932373,0.8502585291862488,1.097212553024292,-0.347797155380249,0.107343390583992,0.209786519408226,0.04379236698150635,0.1580950915813446,-0.3983025848865509,0.3324282765388489,0.22677713632583618,-0.1453612744808197,-0.14431892335414886,0.47845447063446045,-0.5078418254852295
6,5,4,1,2,0,0.9911078214645386,-0.11428280174732208,0.14227527379989624,-0.30639809370040894,0.5319793224334717,-0.017283834517002106,-0.8786211609840393,0.009983710944652557,0.9678553938865662,-0.7441232204437256,1.2192673683166504,-0.973914623260498,-0.7356743812561035,-0.32741135358810425,-0.968697726726532,-0.9958164095878601,-0.7338899374008179,1.2653203010559082,-0.7006579041481018,1.3420213460922241,0.6241819262504578,-1.0508629083633423,0.5618593692779541,1.1092302799224854,-0.40238869190216064,0.13855576515197754,0.24378597736358643,0.03951265290379524,0.20069491863250732,-0.46661192178726196,0.4268001616001129,0.24825406074523926,-0.17695198953151703,-0.20237290859222412,0.5562973022460938,-0.582237720489502
7,4,4,0,2,0,0.06566888093948364,-0.6728912591934204,1.0647251605987549,-0.5062340497970581,-0.6528394818305969,-0.11887551099061966,0.14640942215919495,-0.6820796728134155,1.0514659881591797,-0.8407589197158813,1.1851743459701538,-0.9460790157318115,-0.7498996257781982,-0.560723602771759,-0.9164711236953735,-0.9261656999588013,-0.7132006287574768,1.1536579132080078,-0.817615807056427,1.2047514915466309,0.7680307030677795,-0.9535913467407227,0.7900704741477966,1.108739972114563,-0.4455154240131378,0.17917905747890472,0.28124144673347473,0.015327692031860352,0.2393682301044464,-0.5312170386314392,0.5463907718658447,0.2392025887966156,-0.19847632944583893,-0.2612001895904541,0.6102234721183777,-0.634807288646698
8,5,4,1,3,0,0.2774293124675751,0.389545738697052,0.6475886702537537,0.5129798650741577,0.7767902612686157,0.36339712142944336,0.3226343095302582,0.6337296962738037,-0.8809608221054077,0.7438899874687195,-0.8924022912979126,0.6394956707954407,0.7000024914741516,0.554861307144165,0.6605793833732605,0.536687970161438,0.7479425668716431,-1.0411205291748047,0.7742255926132202,-0.8322638273239136,-0.6309966444969177,0.697273850440979,-0.8927922248840332,-1.0116620063781738,-0.49308082461357117,0.20073610544204712,0.3366413712501526,0.020733388140797615,0.2753768861293793,-0.5232424736022949,0.3388088345527649,0.3250066041946411,-0.22554679214954376,-0.24779652059078217,0.6672567129135132,-0.6735898852348328
9,4,4,0,2,0,0.9052581787109375,-0.8327274322509766,-0.18600702285766602,0.30382949113845825,-0.5083374381065369,0.9616738557815552,-0.7837077379226685,-0.12464287877082825,1.0657318830490112,-0.8520527482032776,1.1642258167266846,-0.9363354444503784,-0.7505443692207336,-0.6294561624526978,-0.9041788578033447,-0.9102407693862915,-0.7109775543212891,1.12494957447052,-0.8270859718322754,1.1751916408538818,0.8159782290458679,-0.9352936744689941,0.8465642333030701,1.0967620611190796,-0.5304625034332275,0.20716893672943115,0.3417039215564728,0.016699066385626793,0.27382588386535645,-0.5823706984519958,0.4875261187553406,0.32360610365867615,-0.25223326683044434,-0.2763867676258087,0.7295916080474854,-0.7175211310386658
10,5,4,1,3,0,0.08142274618148804,0.12627547979354858,0.07680607587099075,0.5715484619140625,0.22180306911468506,0.08492325246334076,-0.35109150409698486,-0.16808536648750305,-0.19450092315673828,1.3826515674591064,-1.1251728534698486,0.4518715739250183,-0.6563470363616943,1.2617301940917969,-0.13781434297561646,0.5169699192047119,-0.7572851777076721,0.13538314402103424,1.4326528310775757,0.2706340253353119,-0.3209192454814911,-0.47057095170021057,-1.2582675218582153,-0.5935009717941284,-0.5726982355117798,0.23721446096897125,0.3767727017402649,0.014127319678664207,0.29971843957901,-0.6166056394577026,0.509316086769104,0.36304688453674316,-0.2865002453327179,-0.31829118728637695,0.7897248268127441,-0.7752725481987
